交易类型,日期,类别,子类别,项目,账户,账户币种,金额,成员,商家,备注,关联Id
支出,2020-02-12 15:13:43,日常开销,咖啡☕️小食,,港币,HKD,32.90,,,,
收入,2020-02-10 19:39:22,老公,Ones,,人民币,CNY,13725.00,,,,
支出,2020-02-10 17:44:58,日常开销,在外吃饭,,港币,HKD,156.00,,,,
支出,2020-02-10 09:37:42,日常开销,街市菜蔬肉,,人民币,CNY,518.00,,,,
支出,2020-02-09 23:58:04,人际关系,AA大吃,,港币,HKD,175.00,,,,
支出,2020-02-09 22:28:13,大锤大过1,🐱购物,,人民币,CNY,53.00,,,猫盒子,
支出,2020-02-09 18:22:22,日常开销,超市🏪日常购,,人民币,CNY,384.39,,,,
支出,2020-02-09 15:19:32,大锤大过1,托人照顾🐱,,人民币,CNY,268.00,,,喂猫 四次 不便宜,
支出,2020-02-09 15:15:32,住🏠行🚗,家具电器,,港币,HKD,665.00,,,,
支出,2020-02-07 11:36:07,日常开销,街市菜蔬肉,,港币,HKD,36.60,,,,
支出,2020-02-06 18:55:51,日常开销,街市菜蔬肉,,港币,HKD,56.90,,,,
支出,2020-02-06 00:46:44,日常开销,超市🏪日常购,,人民币,CNY,266.60,,,,
支出,2020-02-05 18:47:18,日常开销,街市菜蔬肉,,港币,HKD,314.20,,,,
支出,2020-02-05 12:14:06,日常开销,咖啡☕️小食,,港币,HKD,4.00,,,,
支出,2020-02-05 12:14:02,日常开销,在外吃饭,,港币,HKD,82.00,,,,
支出,2020-02-04 18:30:24,住🏠行🚗,深圳房租,,人民币,CNY,5556.71,,,,
支出,2020-02-04 17:53:52,日常开销,街市菜蔬肉,,港币,HKD,93.60,,,,
支出,2020-02-04 13:09:55,日常开销,咖啡☕️小食,,港币,HKD,65.00,,,,
支出,2020-02-04 13:09:49,日常开销,在外吃饭,,港币,HKD,79.00,,,,
支出,2020-02-03 22:12:47,日常开销,订阅,,澳币,AUD,2.55,,,AWS 固定支出。,
支出,2020-02-03 12:39:45,日常开销,咖啡☕️小食,,港币,HKD,4.00,,,,
支出,2020-02-03 12:39:43,日常开销,在外吃饭,,港币,HKD,65.00,,,,
支出,2020-02-03 12:39:39,日常开销,在外吃饭,,港币,HKD,66.00,,,,
支出,2020-02-02 15:35:37,日常开销,咖啡☕️小食,,港币,HKD,18.50,,,,
支出,2020-02-01 11:21:00,日常开销,在外吃饭,,港币,HKD,13.89,,,,
支出,2020-02-01 11:18:33,日常开销,在外吃饭,,港币,HKD,52.00,,,,
